,Unnamed: 0,Latitude,Longitude,Date,Fire Intensity,Brightness,dist
742679,61125,34.358000000000004,-117.82799999999999,2020-09-19,119.4,367.8,51.17888847477007
742690,61136,34.37,-117.87700000000001,2020-09-19,67.3,350.3,48.859791702042976
742692,61138,34.439,-117.98700000000001,2020-09-19,36.6,336.4,49.07256024410473
742694,61140,34.382,-117.85600000000001,2020-09-19,26.1,327.9,51.15941259104884
742695,61141,34.369,-117.88799999999999,2020-09-19,12.9,313.8,48.08540736091419
742698,61144,34.236999999999995,-118.051,2020-09-19,6.5,306.4,27.151435445944614
742703,61149,34.384,-117.844,2020-09-19,15.7,317.4,52.091828684692906
742704,61150,34.402,-117.98100000000001,2020-09-19,20.5,323.6,45.798784791835175
742705,61151,34.408,-117.936,2020-09-19,10.5,312.0,48.65124354653955
742706,61152,34.451,-117.96600000000001,2020-09-19,91.1,361.0,51.181357240345875
742707,61153,34.391999999999996,-117.84,2020-09-19,22.1,324.3,52.98193627829359
742708,61154,34.406,-117.807,2020-09-19,17.4,319.0,56.227595558635464
742710,61156,34.411,-117.98200000000001,2020-09-19,28.3,330.0,46.60400189076778
742711,61157,34.349000000000004,-117.82600000000001,2020-09-19,143.6,374.2,50.660070916417844
742712,61158,34.44,-117.976,2020-09-19,17.0,322.7,49.66345292925746
742713,61159,34.428000000000004,-117.99600000000001,2020-09-19,25.5,327.6,47.60275126821819
742714,61160,34.43,-117.985,2020-09-19,34.9,335.1,48.288239923877896
742717,61163,34.361,-117.875,2020-09-19,17.5,318.8,48.270858529510605
742720,61166,34.454,-118.012,2020-09-19,3.8,301.5,49.50919671454159
742721,61167,34.389,-117.86399999999999,2020-09-19,61.0,348.1,51.2150195849099
742722,61168,34.205,-117.87,2020-09-19,19.4,322.3,38.37667487237771
742723,61169,34.448,-117.98899999999999,2020-09-19,21.2,324.7,49.865338521783194
742724,61170,34.243,-117.866,2020-09-19,5.3,305.4,40.733823744036684
742725,61171,34.241,-117.87700000000001,2020-09-19,8.0,308.8,39.75540336637754
742726,61172,34.449,-117.977,2020-09-19,200.5,388.3,50.49000289055875
742727,61173,34.214,-117.87200000000001,2020-09-19,33.3,333.1,38.665698077488685
742730,61176,34.400999999999996,-117.84100000000001,2020-09-19,33.6,333.6,53.63573490886414
742733,61179,34.397,-117.876,2020-09-19,18.2,320.3,51.131830655121995
742734,61180,34.398,-117.865,2020-09-19,26.7,328.6,51.88872161280383
742735,61181,34.4,-117.853,2020-09-19,45.5,340.3,52.798329548835575
742739,61185,34.427,-117.788,2020-09-19,145.0,375.5,59.108394264189634
742741,61187,34.47,-117.95200000000001,2020-09-19,7.8,307.9,53.65359626511194
742747,61193,34.388000000000005,-117.875,2020-09-19,46.7,340.9,50.44831148409809
742748,61194,34.458,-117.979,2020-09-19,455.7,423.6,51.27924890930512
742749,61195,34.457,-117.991,2020-09-19,6.5,307.1,50.66617752046868
742763,61209,34.366,-117.863,2020-09-19,42.3,313.3,49.44302822493455
742766,61212,34.431,-117.781,2020-09-19,158.7,341.3,59.877935923807534
742767,61213,34.413000000000004,-117.781,2020-09-19,44.2,314.8,58.48973201151385
742770,61216,34.415,-117.837,2020-09-19,97.3,329.8,55.01997221012432
742771,61217,34.418,-117.786,2020-09-19,55.0,317.9,58.54035796672578
742772,61218,34.369,-117.868,2020-09-19,52.2,317.5,49.355597130330096
742774,61220,34.41,-117.815,2020-09-19,64.2,321.1,56.019036465111185
742782,61228,34.48,-117.962,2020-09-19,37.0,311.4,54.17369420945103
742783,61229,34.479,-117.944,2020-09-19,23.5,307.2,54.887656173292605
742784,61230,34.355,-117.815,2020-09-19,31.8,307.2,51.86170255132918
742788,61234,34.403,-117.973,2020-09-19,31.0,309.0,46.284771967624806
742791,61237,34.403,-117.84299999999999,2020-09-19,59.3,320.0,53.67010937017189
742796,61242,34.397,-117.818,2020-09-19,65.7,321.7,54.80592122049187
742800,61246,34.358000000000004,-117.818,2020-09-19,35.3,309.5,51.86983093262391
742804,61250,34.426,-117.77600000000001,2020-09-19,129.7,336.1,59.81850178530291
742811,61257,34.433,-117.986,2020-09-19,129.7,337.2,48.53374360576847
742812,61258,34.391,-117.852,2020-09-19,35.7,312.0,52.134137046821
742814,61260,34.442,-117.96,2020-09-19,34.7,312.5,50.599083766911576
742819,61265,34.463,-117.943,2020-09-19,41.3,314.2,53.404761381670966
742820,61266,34.455999999999996,-117.973,2020-09-19,312.6,362.6,51.348756988323885
742821,61267,34.468,-117.96700000000001,2020-09-19,46.4,316.1,52.78299692866829
742822,61268,34.475,-117.93799999999999,2020-09-19,25.5,306.4,54.78449594188729
742829,61275,34.461,-117.99700000000001,2020-09-19,34.7,311.5,50.81313277569677
742830,61276,34.379,-117.86,2020-09-19,54.9,318.2,50.664149460465275
742833,61279,34.446999999999996,-117.98299999999999,2020-09-19,276.0,358.7,50.02917051626995
742835,61281,34.454,-117.954,2020-09-19,63.6,322.6,52.02667302981962
742836,61282,34.459,-117.979,2020-09-19,238.4,354.4,51.37711406137182
742837,61283,34.466,-117.949,2020-09-19,55.5,319.8,53.40838686406559
742884,61330,34.405,-117.777,2020-09-19,300.9,359.1,58.15524941313268
742887,61333,34.422,-117.809,2020-09-19,90.8,334.6,57.3562309695844
742888,61334,34.463,-117.98299999999999,2020-09-19,410.0,367.7,51.59728014067567
742896,61342,34.406,-117.984,2020-09-19,2347.4,437.4,46.03331916275196
742897,61343,34.42,-117.98700000000001,2020-09-19,113.8,338.4,47.231970189294074
742899,61345,34.41,-117.84100000000001,2020-09-19,76.5,332.9,54.362891179099776
742900,61346,34.417,-117.994,2020-09-19,98.5,336.4,46.62308324096323
742901,61347,34.402,-117.992,2020-09-19,3890.5,464.8,45.27329585743704
742902,61348,34.437,-118.01700000000001,2020-09-19,169.6,346.4,47.607075505508625
742903,61349,34.461,-117.955,2020-09-19,58.4,328.2,52.65005746490483
742904,61350,34.408,-118.015,2020-09-19,350.1,362.5,44.81703527252459
742907,61353,34.4,-117.965,2020-09-19,989.2,399.1,46.406328098228016
742909,61355,34.365,-117.87100000000001,2020-09-19,104.5,336.0,48.845432719932006
742910,61356,34.233000000000004,-117.88,2020-09-19,87.9,335.7,39.056991305404814
742911,61357,34.388000000000005,-117.993,2020-09-19,58.6,327.4,43.894859338171315
742912,61358,34.394,-118.01299999999999,2020-09-19,66.3,328.2,43.538276668435415
742913,61359,34.404,-117.95700000000001,2020-09-19,107.8,338.0,47.18467120867695
742916,61362,34.39,-117.95700000000001,2020-09-19,174.9,346.2,45.902768914241584
742924,61370,34.467,-117.978,2020-09-19,100.2,335.9,52.204913526756705
