,Unnamed: 0,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
64,64,2016-03-05,11,4,0.0,1001,15
65,65,2016-03-06,8,22,0.0,1001,10
66,66,2016-03-07,6,16,0.0,1010,8
67,67,2016-03-08,6,11,0.0,1012,9
68,68,2016-03-09,7,3,0.2,1006,9
69,69,2016-03-10,8,24,0.0,1008,10
70,70,2016-03-11,7,4,0.7,1003,10
71,71,2016-03-12,7,21,0.0,1003,8
72,72,2016-03-13,5,24,0.8,991,8
73,73,2016-03-14,5,22,0.0,1012,7
74,74,2016-03-15,5,9,0.0,1023,8
75,75,2016-03-16,5,8,0.0,1026,9
76,76,2016-03-17,6,17,0.0,1026,11
77,77,2016-03-18,9,12,0.0,1020,13
78,78,2016-03-19,10,1,0.0,1018,14
79,79,2016-03-20,10,9,0.8,1009,11
80,80,2016-03-21,8,8,0.0,1005,10
81,81,2016-03-22,8,10,0.2,1018,11
82,82,2016-03-23,8,18,0.0,1022,10
83,83,2016-03-24,7,17,0.0,1021,9
84,84,2016-03-25,7,1,0.0,1023,12
85,85,2016-03-26,9,3,0.0,1016,15
86,86,2016-03-27,7,6,0.0,1016,9
87,87,2016-03-28,6,13,0.0,1021,9
88,88,2016-03-29,8,13,0.0,1019,13
89,89,2016-03-30,10,5,0.0,1018,18
90,90,2016-03-31,12,3,0.0,1019,25
91,91,2016-04-01,11,3,0.0,1021,20
92,92,2016-04-02,10,8,0.0,1019,14
93,93,2016-04-03,12,6,0.0,1015,18
94,94,2016-04-04,9,16,0.0,1023,12
95,95,2016-04-05,8,12,0.0,1033,11
96,96,2016-04-06,11,8,0.0,1027,17
97,97,2016-04-07,14,6,0.0,1015,26
98,98,2016-04-08,14,7,0.1,1011,24
99,99,2016-04-09,11,3,0.0,1009,18
100,100,2016-04-10,10,10,0.0,1012,14
101,101,2016-04-11,9,8,0.0,1018,13
102,102,2016-04-12,12,11,0.0,1013,19
103,103,2016-04-13,7,12,0.0,1016,11
104,104,2016-04-14,7,9,0.1,1018,12
105,105,2016-04-15,7,7,0.0,1020,12
106,106,2016-04-16,8,10,0.0,1019,13
107,107,2016-04-17,8,10,0.0,1019,13
108,108,2016-04-18,8,8,0.0,1020,14
109,109,2016-04-19,9,8,0.1,1017,14
110,110,2016-04-20,14,5,0.0,1012,18
111,111,2016-04-21,15,8,0.0,1007,21
112,112,2016-04-22,12,15,0.0,1005,15
113,113,2016-04-23,12,10,0.0,1015,16
114,114,2016-04-24,9,5,0.4,1017,11
115,115,2016-04-25,8,7,0.0,1021,13
116,116,2016-04-26,9,5,0.0,1017,15
117,117,2016-04-27,10,9,0.0,1016,14
118,118,2016-04-28,11,6,0.0,1018,17
119,119,2016-04-29,10,6,0.0,1018,14
120,120,2016-04-30,11,8,0.0,1026,18
121,121,2016-05-01,15,9,0.0,1018,24
122,122,2016-05-02,18,5,0.0,1015,27
123,123,2016-05-03,15,5,0.0,1016,24
124,124,2016-05-04,12,12,0.0,1015,16
125,125,2016-05-05,12,13,0.0,1015,17
126,126,2016-05-06,15,15,0.0,1016,20
127,127,2016-05-07,16,4,0.0,1011,27
128,128,2016-05-08,11,9,0.0,1012,15
129,129,2016-05-09,11,5,0.0,1019,17
130,130,2016-05-10,13,10,0.0,1022,24
131,131,2016-05-11,15,5,0.0,1016,24
132,132,2016-05-12,14,6,0.0,1016,24
133,133,2016-05-13,17,5,0.0,1015,26
134,134,2016-05-14,13,4,0.0,1014,15
135,135,2016-05-15,11,8,0.0,1016,14
136,136,2016-05-16,11,3,0.0,1022,16
137,137,2016-05-17,13,5,0.0,1023,20
138,138,2016-05-18,9,7,0.0,1015,11
139,139,2016-05-19,13,8,0.1,1016,21
140,140,2016-05-20,12,9,0.0,1018,18
141,141,2016-05-21,11,7,0.0,1013,12
142,142,2016-05-22,12,14,0.0,1012,16
143,143,2016-05-23,12,3,0.0,1013,17
144,144,2016-05-24,13,3,0.0,1014,19
145,145,2016-05-25,13,10,0.0,1020,18
146,146,2016-05-26,12,8,0.0,1021,13
147,147,2016-05-27,13,4,0.0,1020,16
148,148,2016-05-28,13,17,0.0,1017,14
149,149,2016-05-29,12,8,0.0,1020,13
150,150,2016-05-30,13,10,0.0,1023,19
151,151,2016-05-31,14,6,0.0,1015,21
152,152,2016-06-01,15,6,0.0,1013,20
153,153,2016-06-02,14,13,0.0,1019,16
154,154,2016-06-03,17,7,0.0,1023,25
155,155,2016-06-04,19,15,0.0,1017,26
156,156,2016-06-05,21,5,0.0,1013,30
157,157,2016-06-06,19,9,0.0,1011,27
158,158,2016-06-07,18,3,0.0,1009,27
159,159,2016-06-08,15,13,0.0,1010,20
160,160,2016-06-09,13,7,0.0,1012,15
161,161,2016-06-10,12,9,0.1,1015,13
162,162,2016-06-11,12,7,0.0,1022,16
163,163,2016-06-12,14,6,0.0,1022,19
164,164,2016-06-13,11,19,0.0,1014,15
165,165,2016-06-14,10,18,0.1,1013,13
166,166,2016-06-15,12,9,0.0,1017,14
167,167,2016-06-16,12,7,0.0,1018,15
168,168,2016-06-17,13,11,0.0,1018,21
169,169,2016-06-18,12,9,0.6,1021,14
170,170,2016-06-19,14,11,0.0,1026,20
171,171,2016-06-20,16,4,0.0,1020,24
172,172,2016-06-21,15,3,0.0,1023,21
173,173,2016-06-22,15,5,0.0,1017,24
174,174,2016-06-23,13,16,0.1,1015,17
175,175,2016-06-24,13,9,0.5,1022,17
176,176,2016-06-25,15,9,0.0,1023,21
177,177,2016-06-26,17,14,0.0,1021,25
178,178,2016-06-27,19,4,0.0,1020,27
179,179,2016-06-28,16,4,0.0,1020,27
180,180,2016-06-29,16,4,0.0,1020,25
181,181,2016-06-30,15,4,0.0,1021,24
182,182,2016-07-01,15,4,0.0,1017,24
