,Unnamed: 0,Latitude,Longitude,Date,Fire Intensity,Brightness,dist
361838,361838,47.3642,-121.0686,2017-09-11,15.6,307.6,98.98828716829573
362266,362266,47.3509,-121.0667,2017-09-11,13.0,316.7,99.5520670387518
362267,362267,47.3494,-121.0837,2017-09-11,14.0,316.9,98.3786236637928
362729,362729,47.3509,-121.09299999999999,2017-09-12,41.7,302.6,97.66001779050812
362898,362898,47.3545,-121.0695,2017-09-12,25.0,301.3,99.23283462462626
363154,363154,47.0161,-122.4662,2017-09-12,11.8,307.5,66.57580887950242
363853,363853,47.3532,-121.081,2017-09-12,12.4,310.5,98.44697036233097
363858,363858,47.3426,-121.0725,2017-09-12,12.5,311.0,99.41192080250742
363941,363941,47.3474,-121.0678,2017-09-13,7.4,303.8,99.58851594514012
363943,363943,47.3544,-121.0838,2017-09-13,16.0,316.8,98.2059731381756
363957,363957,47.3524,-121.0969,2017-09-13,11.6,311.8,97.32959954900292
363961,363961,47.3455,-121.0808,2017-09-13,7.1,303.5,98.71789667779025
364188,364188,47.5672,-122.3731,2017-09-13,8.4,301.8,5.357839430259451
364382,364382,47.3562,-121.0815,2017-09-13,8.6,302.7,98.31282079600135
364564,364564,47.3556,-121.0859,2017-09-13,10.0,302.0,98.01543864460716
364902,364902,47.1014,-122.5195,2017-09-13,6.5,308.2,58.037114481116156
364903,364903,47.3446,-121.09899999999999,2017-09-13,16.6,318.3,97.44255976322957
364904,364904,47.3461,-121.0862,2017-09-13,5.1,304.7,98.30987478618519
364905,364905,47.1032,-122.5062,2017-09-13,8.7,311.4,57.610247574862555
364906,364906,47.0066,-121.5295,2017-09-13,11.3,308.3,90.37183742703726
364908,364908,47.3555,-121.0877,2017-09-13,88.2,356.9,97.8890876656242
364909,364909,47.357,-121.0746,2017-09-13,43.4,337.7,98.78422365890572
365406,365406,47.3827,-121.0712,2017-09-15,14.9,310.5,98.23932560082207
365407,365407,47.3707,-121.0831,2017-09-15,11.1,307.5,97.7372630057255
365408,365408,47.3735,-121.0669,2017-09-15,26.6,321.9,98.82502551183559
365409,365409,47.3616,-121.0784,2017-09-15,24.0,320.3,98.36251214185391
365411,365411,47.3588,-121.0949,2017-09-15,14.3,311.4,97.26270725415716
365452,365452,47.3674,-121.0703,2017-09-15,13.9,303.9,98.76558388368187
365567,365567,47.6586,-121.6025,2017-09-15,18.9,320.0,55.204191207601305
365571,365571,47.3647,-121.0741,2017-09-15,21.3,324.9,98.57505677246454
365577,365577,47.3521,-121.0979,2017-09-15,5.4,304.1,97.26772267388358
365578,365578,47.3737,-121.0705,2017-09-15,19.7,323.4,98.55802481443655
365825,365825,47.3648,-121.0759,2017-09-15,48.9,345.4,98.44182636545612
365826,365826,47.3755,-121.0657,2017-09-15,27.6,332.0,98.85183541445268
365827,365827,47.3736,-121.0788,2017-09-15,75.4,357.8,97.95961962558903
365828,365828,47.3843,-121.0686,2017-09-15,23.8,327.8,98.38170031522972
365847,365847,47.6566,-121.6077,2017-09-15,11.5,313.2,54.795125858395444
365848,365848,47.5665,-122.37200000000001,2017-09-15,6.1,314.0,5.381139359883485
365920,365920,47.3717,-121.0972,2017-09-16,58.8,326.2,96.68618583051989
365921,365921,47.36,-121.0956,2017-09-16,18.5,303.1,97.1732801957399
365922,365922,47.3614,-121.0772,2017-09-16,26.4,308.6,98.4555087057518
365923,365923,47.3732,-121.0773,2017-09-16,46.8,321.0,98.08047649968334
365924,365924,47.3849,-121.0785,2017-09-16,67.1,328.9,97.64459739126981
365925,365925,47.3832,-121.1002,2017-09-16,54.1,324.3,96.11878881636812
365939,365939,47.38399999999999,-121.0783,2017-09-16,28.4,317.5,97.68540097275954
366127,366127,47.3843,-121.1012,2017-09-17,11.9,300.3,96.01351115648919
366130,366130,47.3884,-121.0808,2017-09-17,11.9,300.2,97.37602336253119
367700,367700,47.5721,-122.3708,2017-09-24,6.7,311.2,4.806467086850951
367749,367749,47.5681,-122.3697,2017-09-24,7.6,311.5,5.140115960883939
368175,368175,47.5734,-122.3726,2017-09-26,5.2,307.0,4.765263438973952
368586,368586,47.1087,-122.5061,2017-09-27,17.9,312.4,57.012297814186766
370685,370685,47.5679,-122.3699,2017-10-03,7.1,308.2,5.166894683112593
370918,370918,47.568000000000005,-122.37700000000001,2017-10-03,5.7,304.2,5.445834970369914
372787,372787,47.5726,-122.3644,2017-10-08,8.8,307.3,4.508284928671031
373590,373590,47.2588,-123.21,2017-10-09,18.3,301.2,76.42891017580702
374201,374201,47.2601,-123.1929,2017-10-10,5.9,300.7,75.24855597652608
374202,374202,47.2618,-123.2003,2017-10-10,11.4,306.5,75.6292364145958
374203,374203,47.2574,-123.2083,2017-10-10,6.7,301.7,76.39890254863064
374782,374782,47.0315,-122.6313,2017-10-11,37.9,318.3,67.90181618565761
376484,376484,47.5644,-122.3654,2017-10-15,4.4,302.9,5.355123694919216
377970,377970,46.9355,-122.303,2017-10-17,7.5,302.5,74.84289127077638
380963,380963,47.88399999999999,-122.8907,2017-10-24,27.1,327.1,51.659885456771605
380965,380965,47.9042,-122.8981,2017-10-24,11.4,310.1,53.454162511270695
380966,380966,47.9019,-122.8843,2017-10-24,12.4,311.3,52.486359957607036
380967,380967,47.1298,-123.355,2017-10-24,5.5,300.5,93.44269026602912
381365,381365,47.8966,-122.9002,2017-10-24,6.3,303.8,53.06476642545209
381367,381367,47.879,-122.8944,2017-10-24,9.2,308.8,51.557241234065565
381368,381368,47.8985,-122.8871,2017-10-24,5.7,302.8,52.41743890093227
382416,382416,47.9311,-122.8333,2017-10-26,7.4,303.6,51.751880271630974
383527,383527,47.0513,-123.2975,2017-10-28,6.7,300.6,95.38163546715055
383541,383541,47.568000000000005,-122.3637,2017-10-28,4.5,300.6,4.9386326722790495
383798,383798,47.9358,-122.8166,2017-10-30,72.3,312.8,51.23046868637843
383799,383799,47.9256,-122.8575,2017-10-30,93.8,318.9,52.657771387048356
